,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied
128,26,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,0,1,1,0,1,0,1,0,0,0
129,37,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,0,1,1,0,1,0,1,0,0,1
130,38,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,0,1,1,0,1,0,1,0,0,1
131,17,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,1,0,1,0,0,1,0,1,0,0
132,15,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,0,1,1,0,0,1,0,0,1,0
133,53,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,1,0,1,0,0,1,0,1,0,0
134,39,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,0,1,0,1,1,0,1,0,0,0
135,40,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,0,1,1,0,1,0,1,0,0,1
136,28,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,1,0,0,1,1,0,0,0,1,0
137,27,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,1,0,0,1,1,0,1,0,0,0
138,41,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,1,0,1,0,1,0,1,0,0,1
139,7,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,1,0,1,0,0,1,0,1,0,0
140,48,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,0,1,0,1,1,0,1,0,0,0
141,13,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,0,1,1,0,1,0,0,1,0,0
142,48,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,1,0,1,0,1,0,1,0,0,1
143,49,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,1,0,1,0,0,1,0,1,0,0
144,26,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,0,1,0,1,1,0,1,0,0,1
145,22,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,0,1,1,0,1,0,1,0,0,1
146,53,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,1,0,1,0,1,0,1,0,0,0
147,43,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,1,0,1,0,1,0,0,1,0,1
148,56,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,0,1,1,0,1,0,1,0,0,1
149,69,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,1,0,1,0,0,1,0,1,0,0
150,59,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,0,1,1,0,0,1,0,1,0,1
151,56,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,1,0,1,0,1,0,1,0,0,1
152,11,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,0,1,1,0,0,1,0,1,0,1
153,25,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,1,0,1,0,1,0,0,1,0,1
154,29,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,1,0,0,1,1,0,0,1,0,1
155,48,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,1,0,1,0,1,0,0,1,0,1
156,42,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,1,0,1,0,1,0,1,0,0,1
157,15,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,0,1,0,1,1,0,0,1,0,0
158,49,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,1,0,0,1,1,0,1,0,0,0
159,41,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,0,1,1,0,1,0,1,0,0,1
160,43,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,0,1,1,0,1,0,1,0,0,1
161,60,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,0,1,1,0,1,0,1,0,0,1
162,42,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,1,0,1,0,0,1,0,1,0,1
163,8,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,1,0,1,0,0,1,0,1,0,0
164,42,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,1,0,1,0,1,0,0,1,0,1
165,18,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,0,1,0,1,1,0,0,0,1,0
166,47,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,0,1,1,0,1,0,1,0,0,1
167,27,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,1,0,0,1,1,0,0,1,0,0
168,67,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,1,0,1,0,0,1,0,0,1,0
169,38,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,0,1,0,1,1,0,1,0,0,1
170,20,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,1,0,0,1,1,0,0,1,0,0
171,60,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,1,0,1,0,1,0,1,0,0,1
172,23,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,0,1,0,1,1,0,1,0,0,1
173,25,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,0,1,0,1,1,0,1,0,0,0
174,38,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,1,0,1,0,1,0,1,0,0,1
175,40,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,1,0,1,0,1,0,1,0,0,1
176,19,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,0,1,1,0,0,1,0,1,0,0
177,61,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,1,0,1,0,1,0,1,0,0,1
178,44,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,0,1,1,0,0,1,0,1,0,0
179,22,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,1,0,1,0,0,1,0,1,0,0
180,8,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,1,0,0,1,1,0,0,1,0,0
181,45,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,1,0,1,0,1,0,1,0,0,0
182,46,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,0,1,1,0,0,1,0,1,0,1
183,54,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,1,0,1,0,1,0,1,0,0,0
184,62,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,0,1,1,0,0,1,0,1,0,0
185,25,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,1,0,1,0,1,0,1,0,0,1
186,32,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,1,0,1,0,0,1,0,1,0,0
187,65,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,1,0,1,0,0,1,0,1,0,0
188,40,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0,0,1,0,1,1,0,1,0,0,0
189,30,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,1,0,1,0,1,0,0,0,1,1
190,67,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,1,0,1,0,0,1,0,1,0,0
191,51,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,0,1,1,0,1,0,1,0,0,1
192,47,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,1,0,1,0,1,0,1,0,0,1
193,38,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,1,0,1,0,1,0,0,1,0,0
194,54,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,0,1,1,0,1,0,1,0,0,1
195,57,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,1,0,1,0,0,1,0,1,0,0
196,13,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0,0,1,1,0,0,1,0,1,0,0
197,20,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,1,0,0,1,1,0,0,1,0,1
198,45,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,1,0,1,0,1,0,1,0,0,0
199,51,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,1,0,1,0,1,0,1,0,0,1
200,25,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0,0,1,0,1,1,0,1,0,0,1
201,39,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163,1,0,1,0,0,1,0,1,0,0
202,46,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16,1,0,1,0,1,0,1,0,0,1
203,53,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0,0,1,1,0,1,0,0,1,0,0
204,61,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,1,0,1,0,0,1,0,1,0,1
205,61,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102,1,0,1,0,1,0,0,0,1,1
206,16,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42,0,1,1,0,0,1,0,1,0,0
207,44,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1,1,0,1,0,1,0,1,0,0,0
208,17,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,1,0,1,0,1,0,1,0,0,1
209,50,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,1,0,1,0,1,0,0,1,0,0
210,40,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4,1,0,0,1,1,0,1,0,0,1
211,47,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0,0,1,1,0,1,0,1,0,0,1
212,80,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,1,0,1,0,1,0,1,0,0,1
213,38,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,1,0,1,0,0,1,0,1,0,1
214,31,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0,0,1,1,0,0,1,0,1,0,1
215,59,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15,0,1,1,0,1,0,1,0,0,0
216,22,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,1,0,1,0,1,0,1,0,0,0
217,53,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3,1,0,1,0,1,0,1,0,0,1
218,56,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,1,0,1,0,1,0,0,0,1,1
219,48,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0,1,0,1,0,0,1,0,1,0,0
220,38,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25,0,1,0,1,1,0,1,0,0,0
221,64,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9,0,1,1,0,0,1,0,1,0,0
222,67,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0,0,1,1,0,0,1,0,1,0,0
223,62,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,1,0,1,0,1,0,1,0,0,1
224,57,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15,0,1,1,0,1,0,1,0,0,1
225,27,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32,1,0,0,1,1,0,0,1,0,0
226,25,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11,1,0,0,1,1,0,0,1,0,0
227,52,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72,1,0,1,0,1,0,0,1,0,0
228,45,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0,1,0,1,0,1,0,0,0,1,1
229,23,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13,1,0,0,1,1,0,0,1,0,0
230,55,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0,0,1,1,0,1,0,0,1,0,1
231,53,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,0,0,1,1,0,1,0,1,0,0,0
